"Kind"	"Name"	"DataAsset"	"ChosenTextureName"	"ChosenTextureAsset"	"PNG"	"SourcePNG"	"Size"	"Format"
"Building"	"Advanced Spark Catapult"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AdvancedSparkCatapult.uasset"	"Advanced Spark Catapult"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AdvancedSparkCatapult.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Advanced Spark Catapult.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_AdvancedSparkCatapult.png"	"512x512"	"PF_DXT5"
"Building"	"Aetheric Collider"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AethericCollider.uasset"	"Aetheric Collider"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AethericCollider.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Aetheric Collider.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_AethericCollider.png"	"512x512"	"PF_DXT5"
"Building"	"Alchemy Station"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AlchemyStation.uasset"	"Alchemy Station"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AlchemyStation.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Alchemy Station.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_AlchemyStation.png"	"512x512"	"PF_DXT5"
"Building"	"All Recipes Factory"	"Loc/Content/Loc/GeneratedContent/BuildingIcons/T_Gen_AllRecipesFactory.uasset"	"All Recipes Factory"	"Loc/Content/Loc/GeneratedContent/BuildingIcons/T_Gen_AllRecipesFactory.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\All Recipes Factory.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_AllRecipesFactory.png"	"512x512"	"PF_DXT1"
"Building"	"Ancient Compressor"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AncientCompressor.uasset"	"Ancient Compressor"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AncientCompressor.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Ancient Compressor.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_AncientCompressor.png"	"512x512"	"PF_DXT5"
"Building"	"Ancient Greenhouse"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AncientGreenhouse.uasset"	"Ancient Greenhouse"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AncientGreenhouse.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Ancient Greenhouse.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_AncientGreenhouse.png"	"512x512"	"PF_DXT5"
"Building"	"Ancient Set Arch 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AncientSet_Arch_01.uasset"	"Ancient Set Arch 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AncientSet_Arch_01.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Ancient Set Arch 01.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_AncientSet_Arch_01.png"	"512x512"	"PF_DXT5"
"Building"	"Ancient Set Arch 02"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AncientSet_Arch_02.uasset"	"Ancient Set Arch 02"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AncientSet_Arch_02.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Ancient Set Arch 02.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_AncientSet_Arch_02.png"	"512x512"	"PF_DXT5"
"Building"	"Ancient Set Bench 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AncientSet_Bench_01.uasset"	"Ancient Set Bench 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AncientSet_Bench_01.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Ancient Set Bench 01.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_AncientSet_Bench_01.png"	"512x512"	"PF_DXT5"
"Building"	"Ancient Set Lantern 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AncientSet_Lantern_01.uasset"	"Ancient Set Lantern 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AncientSet_Lantern_01.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Ancient Set Lantern 01.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_AncientSet_Lantern_01.png"	"512x512"	"PF_DXT5"
"Building"	"Ancient Set Pedestal 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AncientSet_Pedestal_01.uasset"	"Ancient Set Pedestal 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AncientSet_Pedestal_01.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Ancient Set Pedestal 01.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_AncientSet_Pedestal_01.png"	"512x512"	"PF_DXT5"
"Building"	"Ancient Set Pedestal 02"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AncientSet_Pedestal_02.uasset"	"Ancient Set Pedestal 02"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AncientSet_Pedestal_02.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Ancient Set Pedestal 02.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_AncientSet_Pedestal_02.png"	"512x512"	"PF_DXT5"
"Building"	"Ancient Set Pillar 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AncientSet_Pillar_01.uasset"	"Ancient Set Pillar 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AncientSet_Pillar_01.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Ancient Set Pillar 01.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_AncientSet_Pillar_01.png"	"512x512"	"PF_DXT5"
"Building"	"Ancient Set Pot 1x1 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AncientSet_Pot_1x1_01.uasset"	"Ancient Set Pot 1x1 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AncientSet_Pot_1x1_01.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Ancient Set Pot 1x1 01.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_AncientSet_Pot_1x1_01.png"	"512x512"	"PF_DXT5"
"Building"	"Ancient Set Pot 1x2 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AncientSet_Pot_1x2_01.uasset"	"Ancient Set Pot 1x2 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AncientSet_Pot_1x2_01.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Ancient Set Pot 1x2 01.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_AncientSet_Pot_1x2_01.png"	"512x512"	"PF_DXT5"
"Building"	"Ancient Set Pot 2x2 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AncientSet_Pot_2x2_01.uasset"	"Ancient Set Pot 2x2 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AncientSet_Pot_2x2_01.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Ancient Set Pot 2x2 01.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_AncientSet_Pot_2x2_01.png"	"512x512"	"PF_DXT5"
"Building"	"Ancient Set Unique Item 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AncientSet_UniqueItem_01.uasset"	"Ancient Set Unique Item 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_AncientSet_UniqueItem_01.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Ancient Set Unique Item 01.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_AncientSet_UniqueItem_01.png"	"512x512"	"PF_DXT5"
"Building"	"ANDGate"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ANDGate.uasset"	"ANDGate"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ANDGate.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\ANDGate.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_ANDGate.png"	"512x512"	"PF_DXT5"
"Building"	"Attractor"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_Attractor.uasset"	"Attractor"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_Attractor.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Attractor.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_Attractor.png"	"512x512"	"PF_DXT5"
"Building"	"Balloon Stand"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_BalloonStand.uasset"	"Balloon Stand"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_BalloonStand.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Balloon Stand.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_BalloonStand.png"	"512x512"	"PF_DXT5"
"Building"	"Banked UTurn"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_BankedUTurn.uasset"	"Banked UTurn"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_BankedUTurn.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Banked UTurn.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_BankedUTurn.png"	"512x512"	"PF_DXT5"
